Elizabeth	F	1939	1880
Charles	M	5348	1880
Elizabeth	F	1852	1881
George	M	4664	1881
Elizabeth	F	2186	1882
George	M	5193	1882
Elizabeth	F	2255	1883
Charles	M	4826	1883
Elizabeth	F	2549	1884
George	M	4961	1884
Elizabeth	F	2582	1885
George	M	4674	1885
Elizabeth	F	2680	1886
George	M	4671	1886
Emma	F	2647	1887
George	M	4284	1887
Emma	F	3087	1888
George	M	4912	1888
Margaret	F	2917	1889
George	M	4430	1889
Margaret	F	3100	1890
George	M	4458	1890
Elizabeth	F	3059	1891
George	M	3931	1891
Margaret	F	3435	1892
George	M	4760	1892
Margaret	F	3565	1893
George	M	4320	1893
Helen	F	3676	1894
George	M	4365	1894
Margaret	F	3931	1895
George	M	4289	1895
Margaret	F	4050	1896
George	M	4286	1896
Margaret	F	4146	1897
George	M	4078	1897
Margaret	F	4696	1898
George	M	4853	1898
Margaret	F	4249	1899
George	M	4018	1899
Margaret	F	5304	1900
George	M	5403	1900
Margaret	F	4424	1901
George	M	3609	1901
Margaret	F	5011	1902
George	M	4223	1902
Margaret	F	5046	1903
George	M	3961	1903
Margaret	F	5302	1904
George	M	4219	1904
Anna	F	5424	1905
George	M	4256	1905
Anna	F	5502	1906
George	M	4201	1906
Anna	F	5575	1907
George	M	4445	1907
Ruth	F	6180	1908
George	M	4584	1908
Ruth	F	6509	1909
George	M	4688	1909
Dorothy	F	7318	1910
Robert	M	5609	1910
Dorothy	F	8869	1911
George	M	6586	1911
Margaret	F	12536	1912
Robert	M	12836	1912
Margaret	F	14486	1913
Robert	M	15684	1913
Margaret	F	17763	1914
Robert	M	21188	1914
Margaret	F	23054	1915
Robert	M	28738	1915
Margaret	F	24953	1916
Robert	M	31741	1916
Margaret	F	25560	1917
Robert	M	35220	1917
Margaret	F	27139	1918
Robert	M	40620	1918
Margaret	F	26237	1919
Robert	M	41027	1919
Margaret	F	27996	1920
James	M	47912	1920
Margaret	F	28467	1921
James	M	49748	1921
Margaret	F	26865	1922
James	M	49801	1922
Margaret	F	26133	1923
James	M	50463	1923
Betty	F	30599	1924
James	M	52939	1924
Helen	F	29172	1925
James	M	52682	1925
Helen	F	26884	1926
William	M	51920	1926
Helen	F	25320	1927
William	M	51482	1927
Helen	F	22934	1928
William	M	49117	1928
Helen	F	20985	1929
William	M	47805	1929
Helen	F	19914	1930
William	M	47265	1930
Barbara	F	21797	1931
William	M	43276	1931
Dorothy	F	24974	1932
William	M	42117	1932
Dorothy	F	22047	1933
William	M	39049	1933
Shirley	F	22840	1934
William	M	40170	1934
Betty	F	28673	1935
William	M	40198	1935
Betty	F	25866	1936
William	M	39386	1936
Shirley	F	26816	1937
William	M	40713	1937
Betty	F	25504	1938
William	M	42422	1938
Betty	F	23641	1939
William	M	42077	1939
Judith	F	22382	1940
William	M	44768	1940
Carol	F	24181	1941
William	M	47789	1941
Linda	F	31611	1942
William	M	54884	1942
Linda	F	38439	1943
William	M	55898	1943
Patricia	F	36877	1944
William	M	52369	1944
Patricia	F	35839	1945
William	M	50213	1945
Barbara	F	45122	1946
William	M	60038	1946
Barbara	F	48792	1947
William	M	66989	1947
Patricia	F	46136	1948
William	M	61965	1948
Barbara	F	42601	1949
William	M	61501	1949
Barbara	F	41552	1950
Michael	M	65144	1950
Deborah	F	42052	1951
Michael	M	72797	1951
