{'loss': '0.6068', 'grad_norm': '5.74', 'learning_rate': '4.979e-05', 'rewards/chosen': '-0.5686', 'rewards/rejected': '-0.7964', 'rewards/accuracies': '0.6844', 'rewards/margins': '0.2278', 'logps/chosen': '-18.38', 'logps/rejected': '-20.99', 'logits/chosen': '-95.38', 'logits/rejected': '-94.87', 'epoch': '0.004751'}
{'loss': '0.4239', 'grad_norm': '4.368', 'learning_rate': '4.955e-05', 'rewards/chosen': '-0.6078', 'rewards/rejected': '-1.999', 'rewards/accuracies': '0.8469', 'rewards/margins': '1.391', 'logps/chosen': '-18.76', 'logps/rejected': '-32.94', 'logits/chosen': '-113.1', 'logits/rejected': '-113.1', 'epoch': '0.009501'}
{'loss': '0.4263', 'grad_norm': '3.53', 'learning_rate': '4.931e-05', 'rewards/chosen': '-1.101', 'rewards/rejected': '-2.422', 'rewards/accuracies': '0.8375', 'rewards/margins': '1.32', 'logps/chosen': '-23.73', 'logps/rejected': '-37.21', 'logits/chosen': '-110.9', 'logits/rejected': '-109.8', 'epoch': '0.01425'}
{'loss': '0.4072', 'grad_norm': '8.722', 'learning_rate': '4.907e-05', 'rewards/chosen': '-0.9295', 'rewards/rejected': '-2.296', 'rewards/accuracies': '0.8375', 'rewards/margins': '1.367', 'logps/chosen': '-21.93', 'logps/rejected': '-35.92', 'logits/chosen': '-109.9', 'logits/rejected': '-108.9', 'epoch': '0.019'}
{'loss': '0.2926', 'grad_norm': '4.933', 'learning_rate': '4.884e-05', 'rewards/chosen': '-0.3671', 'rewards/rejected': '-2.39', 'rewards/accuracies': '0.8813', 'rewards/margins': '2.023', 'logps/chosen': '-16.45', 'logps/rejected': '-36.9', 'logits/chosen': '-109.2', 'logits/rejected': '-108.8', 'epoch': '0.02375'}
{'loss': '0.3729', 'grad_norm': '3.229', 'learning_rate': '4.86e-05', 'rewards/chosen': '-0.3032', 'rewards/rejected': '-2.285', 'rewards/accuracies': '0.8656', 'rewards/margins': '1.981', 'logps/chosen': '-15.76', 'logps/rejected': '-35.89', 'logits/chosen': '-105.9', 'logits/rejected': '-106.1', 'epoch': '0.0285'}
{'loss': '0.4127', 'grad_norm': '2.581', 'learning_rate': '4.836e-05', 'rewards/chosen': '-0.181', 'rewards/rejected': '-1.741', 'rewards/accuracies': '0.8344', 'rewards/margins': '1.56', 'logps/chosen': '-14.44', 'logps/rejected': '-30.27', 'logits/chosen': '-94.99', 'logits/rejected': '-97.83', 'epoch': '0.03325'}
{'loss': '0.2761', 'grad_norm': '4.564', 'learning_rate': '4.812e-05', 'rewards/chosen': '-0.03104', 'rewards/rejected': '-2.624', 'rewards/accuracies': '0.9031', 'rewards/margins': '2.592', 'logps/chosen': '-12.95', 'logps/rejected': '-39.25', 'logits/chosen': '-98.34', 'logits/rejected': '-100', 'epoch': '0.038'}
{'loss': '0.2376', 'grad_norm': '3.362', 'learning_rate': '4.789e-05', 'rewards/chosen': '-0.349', 'rewards/rejected': '-3.629', 'rewards/accuracies': '0.9219', 'rewards/margins': '3.28', 'logps/chosen': '-16.17', 'logps/rejected': '-49.26', 'logits/chosen': '-106.1', 'logits/rejected': '-104.9', 'epoch': '0.04276'}
{'loss': '0.3583', 'grad_norm': '6.098', 'learning_rate': '4.765e-05', 'rewards/chosen': '-1.02', 'rewards/rejected': '-3.135', 'rewards/accuracies': '0.8375', 'rewards/margins': '2.115', 'logps/chosen': '-22.84', 'logps/rejected': '-44.29', 'logits/chosen': '-102.5', 'logits/rejected': '-100.7', 'epoch': '0.04751'}
{'loss': '0.2488', 'grad_norm': '4.334', 'learning_rate': '4.741e-05', 'rewards/chosen': '-0.9977', 'rewards/rejected': '-3.25', 'rewards/accuracies': '0.9094', 'rewards/margins': '2.252', 'logps/chosen': '-22.54', 'logps/rejected': '-45.37', 'logits/chosen': '-102.9', 'logits/rejected': '-100.3', 'epoch': '0.05226'}
{'loss': '0.2995', 'grad_norm': '3.247', 'learning_rate': '4.717e-05', 'rewards/chosen': '-0.4579', 'rewards/rejected': '-3.539', 'rewards/accuracies': '0.8844', 'rewards/margins': '3.081', 'logps/chosen': '-17.28', 'logps/rejected': '-48.32', 'logits/chosen': '-107.5', 'logits/rejected': '-105.6', 'epoch': '0.05701'}
{'loss': '0.247', 'grad_norm': '3.017', 'learning_rate': '4.694e-05', 'rewards/chosen': '-0.2', 'rewards/rejected': '-3.172', 'rewards/accuracies': '0.9', 'rewards/margins': '2.972', 'logps/chosen': '-14.67', 'logps/rejected': '-44.7', 'logits/chosen': '-104', 'logits/rejected': '-105.2', 'epoch': '0.06176'}
{'loss': '0.2614', 'grad_norm': '2.79', 'learning_rate': '4.67e-05', 'rewards/chosen': '0.06794', 'rewards/rejected': '-2.299', 'rewards/accuracies': '0.8875', 'rewards/margins': '2.367', 'logps/chosen': '-11.9', 'logps/rejected': '-35.83', 'logits/chosen': '-100.3', 'logits/rejected': '-104.8', 'epoch': '0.06651'}
{'loss': '0.2256', 'grad_norm': '2.638', 'learning_rate': '4.646e-05', 'rewards/chosen': '0.1795', 'rewards/rejected': '-2.552', 'rewards/accuracies': '0.9062', 'rewards/margins': '2.731', 'logps/chosen': '-10.87', 'logps/rejected': '-38.44', 'logits/chosen': '-100.5', 'logits/rejected': '-104', 'epoch': '0.07126'}
{'loss': '0.2791', 'grad_norm': '3.416', 'learning_rate': '4.622e-05', 'rewards/chosen': '-0.1286', 'rewards/rejected': '-3.255', 'rewards/accuracies': '0.8969', 'rewards/margins': '3.127', 'logps/chosen': '-14.06', 'logps/rejected': '-45.56', 'logits/chosen': '-103', 'logits/rejected': '-100.1', 'epoch': '0.07601'}
{'loss': '0.2859', 'grad_norm': '3.887', 'learning_rate': '4.599e-05', 'rewards/chosen': '-0.7103', 'rewards/rejected': '-3.197', 'rewards/accuracies': '0.8687', 'rewards/margins': '2.487', 'logps/chosen': '-19.79', 'logps/rejected': '-44.94', 'logits/chosen': '-101.8', 'logits/rejected': '-95.92', 'epoch': '0.08076'}
{'loss': '0.2768', 'grad_norm': '2.852', 'learning_rate': '4.575e-05', 'rewards/chosen': '-0.7012', 'rewards/rejected': '-3.393', 'rewards/accuracies': '0.8906', 'rewards/margins': '2.692', 'logps/chosen': '-19.71', 'logps/rejected': '-46.87', 'logits/chosen': '-102.2', 'logits/rejected': '-94.92', 'epoch': '0.08551'}
{'loss': '0.2409', 'grad_norm': '2.721', 'learning_rate': '4.551e-05', 'rewards/chosen': '-0.4019', 'rewards/rejected': '-3.389', 'rewards/accuracies': '0.9281', 'rewards/margins': '2.987', 'logps/chosen': '-16.67', 'logps/rejected': '-46.84', 'logits/chosen': '-101.4', 'logits/rejected': '-95.57', 'epoch': '0.09026'}
{'loss': '0.2366', 'grad_norm': '3.808', 'learning_rate': '4.527e-05', 'rewards/chosen': '-0.1899', 'rewards/rejected': '-3.462', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.273', 'logps/chosen': '-14.56', 'logps/rejected': '-47.59', 'logits/chosen': '-102.6', 'logits/rejected': '-96.54', 'epoch': '0.09501'}
{'loss': '0.2628', 'grad_norm': '1.868', 'learning_rate': '4.504e-05', 'rewards/chosen': '-0.3227', 'rewards/rejected': '-2.928', 'rewards/accuracies': '0.8938', 'rewards/margins': '2.605', 'logps/chosen': '-15.93', 'logps/rejected': '-42.24', 'logits/chosen': '-100.7', 'logits/rejected': '-95.59', 'epoch': '0.09976'}
{'loss': '0.2712', 'grad_norm': '2.949', 'learning_rate': '4.48e-05', 'rewards/chosen': '-0.21', 'rewards/rejected': '-3.137', 'rewards/accuracies': '0.8844', 'rewards/margins': '2.927', 'logps/chosen': '-14.71', 'logps/rejected': '-44.24', 'logits/chosen': '-101.7', 'logits/rejected': '-97.02', 'epoch': '0.1045'}
{'loss': '0.2905', 'grad_norm': '4.619', 'learning_rate': '4.456e-05', 'rewards/chosen': '-0.4113', 'rewards/rejected': '-2.725', 'rewards/accuracies': '0.8625', 'rewards/margins': '2.313', 'logps/chosen': '-16.87', 'logps/rejected': '-40.27', 'logits/chosen': '-102.3', 'logits/rejected': '-99.49', 'epoch': '0.1093'}
{'loss': '0.2647', 'grad_norm': '2.768', 'learning_rate': '4.432e-05', 'rewards/chosen': '-0.3204', 'rewards/rejected': '-3.026', 'rewards/accuracies': '0.8938', 'rewards/margins': '2.705', 'logps/chosen': '-15.86', 'logps/rejected': '-43.16', 'logits/chosen': '-106.3', 'logits/rejected': '-102.2', 'epoch': '0.114'}
{'loss': '0.3242', 'grad_norm': '3.217', 'learning_rate': '4.409e-05', 'rewards/chosen': '-0.3906', 'rewards/rejected': '-3.203', 'rewards/accuracies': '0.8469', 'rewards/margins': '2.813', 'logps/chosen': '-16.71', 'logps/rejected': '-45.14', 'logits/chosen': '-107.9', 'logits/rejected': '-102.6', 'epoch': '0.1188'}
{'loss': '0.2207', 'grad_norm': '3.345', 'learning_rate': '4.385e-05', 'rewards/chosen': '-0.2482', 'rewards/rejected': '-2.88', 'rewards/accuracies': '0.9156', 'rewards/margins': '2.631', 'logps/chosen': '-15.13', 'logps/rejected': '-41.77', 'logits/chosen': '-103.6', 'logits/rejected': '-100.4', 'epoch': '0.1235'}
{'loss': '0.2224', 'grad_norm': '1.458', 'learning_rate': '4.361e-05', 'rewards/chosen': '-0.1567', 'rewards/rejected': '-3.219', 'rewards/accuracies': '0.9031', 'rewards/margins': '3.062', 'logps/chosen': '-14.21', 'logps/rejected': '-45.08', 'logits/chosen': '-103.9', 'logits/rejected': '-99.63', 'epoch': '0.1283'}
{'loss': '0.3165', 'grad_norm': '4.29', 'learning_rate': '4.337e-05', 'rewards/chosen': '-0.08269', 'rewards/rejected': '-3.472', 'rewards/accuracies': '0.8906', 'rewards/margins': '3.389', 'logps/chosen': '-13.52', 'logps/rejected': '-47.67', 'logits/chosen': '-106.1', 'logits/rejected': '-101.2', 'epoch': '0.133'}
{'loss': '0.2431', 'grad_norm': '2.616', 'learning_rate': '4.314e-05', 'rewards/chosen': '-0.1503', 'rewards/rejected': '-3.267', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.117', 'logps/chosen': '-14.06', 'logps/rejected': '-45.54', 'logits/chosen': '-108.1', 'logits/rejected': '-101.8', 'epoch': '0.1378'}
{'loss': '0.2594', 'grad_norm': '3.54', 'learning_rate': '4.29e-05', 'rewards/chosen': '-0.2392', 'rewards/rejected': '-2.961', 'rewards/accuracies': '0.9062', 'rewards/margins': '2.722', 'logps/chosen': '-15.13', 'logps/rejected': '-42.66', 'logits/chosen': '-110.1', 'logits/rejected': '-103.3', 'epoch': '0.1425'}
{'loss': '0.2624', 'grad_norm': '3.157', 'learning_rate': '4.266e-05', 'rewards/chosen': '-0.2994', 'rewards/rejected': '-3.008', 'rewards/accuracies': '0.9', 'rewards/margins': '2.709', 'logps/chosen': '-15.6', 'logps/rejected': '-42.97', 'logits/chosen': '-111.1', 'logits/rejected': '-103.9', 'epoch': '0.1473'}
{'loss': '0.2148', 'grad_norm': '3.351', 'learning_rate': '4.242e-05', 'rewards/chosen': '-0.2373', 'rewards/rejected': '-3.253', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.016', 'logps/chosen': '-15.09', 'logps/rejected': '-45.57', 'logits/chosen': '-113.6', 'logits/rejected': '-104.9', 'epoch': '0.152'}
{'loss': '0.1865', 'grad_norm': '3.543', 'learning_rate': '4.219e-05', 'rewards/chosen': '-0.06073', 'rewards/rejected': '-3.735', 'rewards/accuracies': '0.925', 'rewards/margins': '3.674', 'logps/chosen': '-13.29', 'logps/rejected': '-50.27', 'logits/chosen': '-114.3', 'logits/rejected': '-106.2', 'epoch': '0.1568'}
{'loss': '0.2116', 'grad_norm': '4.147', 'learning_rate': '4.195e-05', 'rewards/chosen': '-0.2036', 'rewards/rejected': '-3.792', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.588', 'logps/chosen': '-14.72', 'logps/rejected': '-50.95', 'logits/chosen': '-115.6', 'logits/rejected': '-108.4', 'epoch': '0.1615'}
{'loss': '0.2394', 'grad_norm': '2.867', 'learning_rate': '4.171e-05', 'rewards/chosen': '-0.4043', 'rewards/rejected': '-3.444', 'rewards/accuracies': '0.9156', 'rewards/margins': '3.04', 'logps/chosen': '-16.65', 'logps/rejected': '-47.36', 'logits/chosen': '-115.1', 'logits/rejected': '-108.5', 'epoch': '0.1663'}
